rank,movie_name,ww_lifetime_gross_rev,domestic_lifetime_gross_rev,domestic_percent,foreign_lifetime_gross_rev,foreign_percent,year
"1,032",While You Were Sleeping,"$182,057,016","$81,057,016",44.5%,"$101,000,000",55.5%,1995
"1,033",The Bridges of Madison County,"$182,016,617","$71,516,617",39.3%,"$110,500,000",60.7%,1995
"1,034",Teenage Mutant Ninja Turtles: Mutant Mayhem,"$181,848,832","$118,613,586",65.2%,"$63,235,246",34.8%,2023
"1,035",From Vegas to Macau III,"$181,732,879",-,-,"$181,732,879",100%,2016
"1,036",Poseidon,"$181,674,817","$60,674,817",33.4%,"$121,000,000",66.6%,2006
"1,037",The First Wives Club,"$181,489,203","$105,489,203",58.1%,"$76,000,000",41.9%,1996
"1,038",Cliff Walkers,"$181,325,565","$152,972",<0.1%,"$181,172,593",99.9%,2021
"1,039",Scooby-Doo 2: Monsters Unleashed,"$181,239,132","$84,239,132",46.5%,"$97,000,000",53.5%,2004
"1,040",Hot Shots!,"$181,096,164","$69,467,617",38.4%,"$111,628,547",61.6%,1991
"1,041",The Fall Guy,"$181,073,291","$92,900,355",51.3%,"$88,172,936",48.7%,2024
"1,042",Road to Perdition,"$181,001,478","$104,454,762",57.7%,"$76,546,716",42.3%,2002
"1,043",Kill Bill: Vol. 1,"$180,908,413","$70,099,045",38.8%,"$110,809,368",61.2%,2003
"1,044",Bob Marley: One Love,"$180,828,556","$96,893,170",53.6%,"$83,935,386",46.4%,2024
"1,045",The Scorpion King,"$180,630,907","$91,047,077",50.4%,"$89,583,830",49.6%,2002
"1,046",Sweet Home Alabama,"$180,622,424","$127,223,418",70.4%,"$53,399,006",29.6%,2002
"1,047",Daddy's Home 2,"$180,613,824","$104,029,443",57.6%,"$76,584,381",42.4%,2017
"1,048",Hacksaw Ridge,"$180,563,636","$67,209,615",37.2%,"$113,354,021",62.8%,2016
"1,049",Deja Vu,"$180,557,550","$64,038,616",35.5%,"$116,518,934",64.5%,2006
"1,050",M3GAN,"$180,089,109","$95,159,005",52.8%,"$84,930,104",47.2%,2022
"1,051",Dangerous Minds,"$179,519,401","$84,919,401",47.3%,"$94,600,000",52.7%,1995
"1,052",The Dictator,"$179,379,533","$59,650,222",33.2%,"$119,729,311",66.8%,2012
"1,053",The League of Extraordinary Gentlemen,"$179,265,204","$66,465,204",37.1%,"$112,800,000",62.9%,2003
"1,054",Allegiant,"$179,246,868","$66,184,051",36.9%,"$113,062,817",63.1%,2016
"1,055",Daredevil,"$179,179,718","$102,543,518",57.2%,"$76,636,200",42.8%,2003
"1,056",City Slickers,"$179,033,791","$124,033,791",69.3%,"$55,000,000",30.7%,1991
"1,057",He's Just Not That Into You,"$178,866,158","$93,953,653",52.5%,"$84,912,505",47.5%,2009
"1,058",Eagle Eye,"$178,767,383","$101,440,743",56.7%,"$77,326,640",43.3%,2008
"1,059",Along Came Polly,"$178,311,729","$88,097,164",49.4%,"$90,214,565",50.6%,2004
"1,060",Flushed Away,"$178,281,554","$64,665,672",36.3%,"$113,615,882",63.7%,2006
"1,061",Scary Movie 4,"$178,262,620","$90,710,620",50.9%,"$87,552,000",49.1%,2006
"1,062",Dante's Peak,"$178,127,760","$67,127,760",37.7%,"$111,000,000",62.3%,1997
"1,063",Brokeback Mountain,"$178,064,141","$83,043,761",46.6%,"$95,020,380",53.4%,2005
"1,064",Patriot Games,"$178,051,587","$83,351,587",46.8%,"$94,700,000",53.2%,1992
"1,065",Flubber,"$177,977,226","$92,977,226",52.2%,"$85,000,000",47.8%,1997
"1,066",Baywatch,"$177,856,751","$58,060,186",32.6%,"$119,796,565",67.4%,2017
"1,067",Double Jeopardy,"$177,841,558","$116,741,558",65.6%,"$61,100,000",34.4%,1999
"1,068",War Horse,"$177,584,879","$79,884,879",45%,"$97,700,000",55%,2011
"1,069",Paranormal Activity 2,"$177,512,032","$84,752,907",47.7%,"$92,759,125",52.3%,2010
"1,070",How to Lose a Guy in 10 Days,"$177,503,042","$105,813,373",59.6%,"$71,689,669",40.4%,2003
"1,071",Alien vs. Predator,"$177,427,090","$80,282,231",45.2%,"$97,144,859",54.8%,2004
"1,072",Hero,"$177,395,557","$53,710,019",30.3%,"$123,685,538",69.7%,2002
"1,073",The 40-Year-Old Virgin,"$177,378,645","$109,449,237",61.7%,"$67,929,408",38.3%,2005
"1,074",The Butler,"$177,313,795","$116,632,095",65.8%,"$60,681,700",34.2%,2013
"1,075",The Haunting,"$177,311,151","$91,411,151",51.6%,"$85,900,000",48.4%,1999
"1,076",The Descendants,"$177,243,185","$82,584,160",46.6%,"$94,659,025",53.4%,2011
"1,077",The A-Team,"$177,238,796","$77,222,099",43.6%,"$100,016,697",56.4%,2010
"1,078",Tootsie,"$177,200,285","$177,200,000",100%,$285,-,1982
"1,079",In the Line of Fire,"$176,997,168","$102,314,823",57.8%,"$74,682,345",42.2%,1993
"1,080",Analyze This,"$176,885,658","$106,885,658",60.4%,"$70,000,000",39.6%,1999
"1,081",Looper,"$176,506,819","$66,486,205",37.7%,"$110,020,614",62.3%,2012
"1,082",Serial Bad Weddings,"$176,404,493",-,-,"$176,404,493",100%,2014
"1,083",Ip Man 4: The Finale,"$176,345,966","$3,956,031",2.2%,"$172,389,935",97.8%,2019
"1,084",Dr. Dolittle 2,"$176,104,344","$112,952,899",64.1%,"$63,151,445",35.9%,2001
"1,085",The Italian Job,"$176,070,171","$106,128,601",60.3%,"$69,941,570",39.7%,2003
"1,086",The Bucket List,"$175,372,502","$93,466,502",53.3%,"$81,906,000",46.7%,2007
"1,087",Amélie,"$175,183,052","$33,712,444",19.2%,"$141,470,608",80.8%,2001
"1,088",Sleeping with the Enemy,"$174,999,005","$101,599,005",58.1%,"$73,400,000",41.9%,1991
"1,089",Cowboys & Aliens,"$174,822,325","$100,240,551",57.3%,"$74,581,774",42.7%,2011
"1,090",The Mule,"$174,804,407","$103,804,407",59.4%,"$71,000,000",40.6%,2018
"1,091",The Grand Budapest Hotel,"$174,567,384","$59,301,324",34%,"$115,266,060",66%,2014
"1,092",George of the Jungle,"$174,463,257","$105,263,257",60.3%,"$69,200,000",39.7%,1997
"1,093",Evan Almighty,"$174,440,724","$100,462,298",57.6%,"$73,978,426",42.4%,2007
"1,094",John Wick: Chapter 2,"$174,348,632","$92,029,184",52.8%,"$82,319,448",47.2%,2017
"1,095",Creed,"$174,178,883","$109,778,883",63%,"$64,400,000",37%,2015
"1,096",Furiosa: A Mad Max Saga,"$174,175,791","$67,475,791",38.7%,"$106,700,000",61.3%,2024
"1,097",Identity Thief,"$173,965,010","$134,506,920",77.3%,"$39,458,090",22.7%,2013
"1,098",The Nutcracker and the Four Realms,"$173,961,069","$54,858,851",31.5%,"$119,102,218",68.5%,2018
"1,099",Big Momma's House,"$173,959,438","$117,559,438",67.6%,"$56,400,000",32.4%,2000
"1,100",In Time,"$173,930,596","$37,520,095",21.6%,"$136,410,501",78.4%,2011
"1,101",Operation Mekong,"$173,839,072","$800,012",0.5%,"$173,039,060",99.5%,2016
"1,102",Anchorman 2: The Legend Continues,"$173,649,931","$127,352,707",73.3%,"$46,297,224",26.7%,2013
"1,103",Gemini Man,"$173,469,516","$48,546,770",28%,"$124,922,746",72%,2019
"1,104",Suzume,"$173,208,626","$10,932,037",6.3%,"$162,276,589",93.7%,2022
"1,105",The Girl on the Train,"$173,185,859","$75,395,035",43.5%,"$97,790,824",56.5%,2016
"1,106",Scream,"$173,046,663","$103,046,663",59.6%,"$70,000,000",40.4%,1996
"1,107",Cold Mountain,"$173,013,509","$95,636,509",55.3%,"$77,377,000",44.7%,2003
"1,108",Black Hawk Down,"$172,989,651","$108,638,745",62.8%,"$64,350,906",37.2%,2001
"1,109",The Santa Clause 2,"$172,855,065","$139,236,327",80.6%,"$33,618,738",19.4%,2002
"1,110",The Boy and the Heron,"$172,796,053","$46,832,867",27.1%,"$125,963,186",72.9%,2023
"1,111",Cloverfield,"$172,394,180","$80,048,433",46.4%,"$92,345,747",53.6%,2008
"1,112",Scream 2,"$172,363,301","$101,363,301",58.8%,"$71,000,000",41.2%,1997
"1,113",Couples Retreat,"$171,844,840","$109,204,945",63.6%,"$62,639,895",36.4%,2009
"1,114",The Muppets,"$171,802,998","$88,631,237",51.6%,"$83,171,761",48.4%,2011
"1,115",Antz,"$171,757,863","$90,757,863",52.8%,"$81,000,000",47.2%,1998
"1,116",Blood Diamond,"$171,720,398","$57,377,916",33.4%,"$114,342,482",66.6%,2006
"1,117",Jackass 3D,"$171,685,792","$117,229,692",68.3%,"$54,456,100",31.7%,2010
"1,118",No Country for Old Men,"$171,632,777","$74,283,625",43.3%,"$97,349,152",56.7%,2007
"1,119",Spies in Disguise,"$171,616,764","$66,757,013",38.9%,"$104,859,751",61.1%,2019
"1,120",Cocktail,"$171,504,781","$78,222,753",45.6%,"$93,282,028",54.4%,1988
"1,121",Chinese Zodiac,"$171,339,013",-,-,"$171,339,013",100%,2012
"1,122",One Piece Film: Red,"$171,315,305","$12,775,324",7.5%,"$158,539,981",92.5%,2022
"1,123",Mr. Deeds,"$171,269,535","$126,293,452",73.7%,"$44,976,083",26.3%,2002
"1,124",Nope,"$171,235,592","$123,277,080",72%,"$47,958,512",28%,2022
"1,125",Contact,"$171,120,329","$100,920,329",59%,"$70,200,000",41%,1997
"1,126",Superbad,"$170,812,574","$121,463,226",71.1%,"$49,349,348",28.9%,2007
"1,127",The Other Guys,"$170,458,922","$119,219,978",69.9%,"$51,238,944",30.1%,2010
"1,128",The Specialist,"$170,362,582","$57,362,582",33.7%,"$113,000,000",66.3%,1994
"1,129",Princess Mononoke,"$170,337,330","$4,845,631",2.8%,"$165,491,699",97.2%,1999
"1,130",Olympus Has Fallen,"$170,270,201","$98,925,640",58.1%,"$71,344,561",41.9%,2013
"1,131",Starsky & Hutch,"$170,268,750","$88,237,754",51.8%,"$82,030,996",48.2%,2004
"1,132",Shall We Dance?,"$170,128,460","$57,890,460",34%,"$112,238,000",66%,2004
"1,133",Stuart Little 2,"$169,956,806","$64,956,806",38.2%,"$105,000,000",61.8%,2002
"1,134",Zookeeper,"$169,852,759","$80,360,843",47.3%,"$89,491,916",52.7%,2011
"1,135",Ghost in the Shell,"$169,846,945","$40,563,557",23.9%,"$129,283,388",76.1%,2017
"1,136",Dumb and Dumber To,"$169,837,010","$86,208,010",50.8%,"$83,629,000",49.2%,2014
"1,137",Seven Pounds,"$169,748,929","$69,951,824",41.2%,"$99,797,105",58.8%,2008
"1,138",The Emperor's New Groove,"$169,707,314","$89,636,687",52.8%,"$80,070,627",47.2%,2000
"1,139",Wonder Woman 1984,"$169,601,036","$46,801,036",27.6%,"$122,800,000",72.4%,2020
"1,140",Meet the Robinsons,"$169,333,034","$97,822,171",57.8%,"$71,510,863",42.2%,2007
"1,141",12 Monkeys,"$168,839,459","$57,141,459",33.8%,"$111,698,000",66.2%,1995
"1,142",Ticket to Paradise,"$168,770,985","$68,275,985",40.4%,"$100,495,000",59.6%,2022
"1,143",The Suicide Squad,"$168,717,425","$55,817,425",33.1%,"$112,900,000",66.9%,2021
"1,144",Dodgeball: A True Underdog Story,"$168,423,227","$114,326,736",67.9%,"$54,096,491",32.1%,2004
"1,145",Hellboy II: The Golden Army,"$168,319,243","$75,986,503",45.1%,"$92,332,740",54.9%,2008
"1,146",Insidious: The Last Key,"$167,885,588","$67,745,330",40.4%,"$100,140,258",59.6%,2018
"1,147",Fantastic Four,"$167,882,881","$56,117,548",33.4%,"$111,765,333",66.6%,2015
"1,148",Unstoppable,"$167,805,466","$81,562,942",48.6%,"$86,242,524",51.4%,2010
"1,149",Three Men and a Baby,"$167,780,960","$167,780,960",100%,$0,-,1987
"1,150",Morbius,"$167,460,961","$73,865,530",44.1%,"$93,595,431",55.9%,2022
"1,151",Alexander,"$167,298,192","$34,297,191",20.5%,"$133,001,001",79.5%,2004
"1,152",Magic Mike,"$167,282,900","$113,781,613",68%,"$53,501,287",32%,2012
"1,153",Up in the Air,"$166,842,739","$83,823,381",50.2%,"$83,019,358",49.8%,2009
"1,154",Nosferatu,"$166,691,275","$93,337,275",56%,"$73,354,000",44%,2024
"1,155",Jujutsu Kaisen 0,"$166,659,865","$34,542,754",20.7%,"$132,117,111",79.3%,2021
"1,156",RRR,"$166,602,994","$15,156,051",9.1%,"$151,446,943",90.9%,2022
"1,157",Scream VI,"$166,347,514","$108,161,389",65%,"$58,186,125",35%,2023
"1,158",Nutty Professor II: The Klumps,"$166,339,890","$123,309,890",74.1%,"$43,030,000",25.9%,2000
"1,159",Sleepers,"$165,615,285","$53,315,285",32.2%,"$112,300,000",67.8%,1996
"1,160",Bridge of Spies,"$165,478,348","$72,313,754",43.7%,"$93,164,594",56.3%,2015
"1,161",Gremlins,"$165,434,642","$153,642,180",92.9%,"$11,792,462",7.1%,1984
"1,162",The Princess Diaries,"$165,335,153","$108,248,956",65.5%,"$57,086,197",34.5%,2001
"1,163",The Huntsman: Winter's War,"$164,989,338","$48,390,190",29.3%,"$116,599,148",70.7%,2016
"1,164",Saw III,"$164,874,275","$80,238,724",48.7%,"$84,635,551",51.3%,2006
"1,165",Six Days Seven Nights,"$164,839,294","$74,339,294",45.1%,"$90,500,000",54.9%,1998
"1,166",Bringing Down the House,"$164,729,679","$132,716,677",80.6%,"$32,013,002",19.4%,2003
"1,167",Deep Blue Sea,"$164,648,231","$73,648,142",44.7%,"$91,000,089",55.3%,1999
"1,168",Speed 2: Cruise Control,"$164,508,066","$48,608,066",29.6%,"$115,900,000",70.4%,1997
"1,169",Daddy Day Care,"$164,433,867","$104,297,061",63.4%,"$60,136,806",36.6%,2003
"1,170",The Spiderwick Chronicles,"$164,170,327","$71,195,053",43.4%,"$92,975,274",56.6%,2008
"1,171",The Pink Panther,"$164,115,897","$82,226,474",50.1%,"$81,889,423",49.9%,2006
"1,172",Four Christmases,"$164,112,721","$120,146,040",73.2%,"$43,966,681",26.8%,2008
"1,173",The Ring Two,"$163,995,949","$76,231,249",46.5%,"$87,764,700",53.5%,2005
"1,174",From Vegas to Macau II,"$163,877,532",-,-,"$163,877,532",100%,2015
"1,175",Miami Vice,"$163,794,509","$63,450,470",38.7%,"$100,344,039",61.3%,2006
"1,176",Burn After Reading,"$163,728,902","$60,355,347",36.9%,"$103,373,555",63.1%,2008
"1,177",Space Jam: A New Legacy,"$163,692,228","$70,592,228",43.1%,"$93,100,000",56.9%,2021
"1,178",Pokémon: The First Movie - Mewtwo Strikes Back,"$163,644,940","$85,744,662",52.4%,"$77,900,278",47.6%,1999
"1,179",The Happening,"$163,404,284","$64,506,874",39.5%,"$98,897,410",60.5%,2008
"1,180",Talladega Nights: The Ballad of Ricky Bobby,"$163,362,800","$148,213,377",90.7%,"$15,149,423",9.3%,2006
"1,181",World Trade Center,"$163,247,198","$70,278,893",43%,"$92,968,305",57%,2006
"1,182",The Island,"$162,949,164","$35,818,913",22%,"$127,130,251",78%,2005
"1,183",The Interpreter,"$162,944,923","$72,708,161",44.6%,"$90,236,762",55.4%,2005
"1,184",Dick Tracy,"$162,738,726","$103,738,726",63.8%,"$59,000,000",36.2%,1990
"1,185","Three Billboards Outside Ebbing, Missouri","$162,729,321","$54,513,740",33.5%,"$108,215,581",66.5%,2017
"1,186",27 Dresses,"$162,655,351","$76,808,654",47.2%,"$85,846,697",52.8%,2008
"1,187",Eyes Wide Shut,"$162,378,895","$55,691,208",34.3%,"$106,687,687",65.7%,1999
"1,188",The Magnificent Seven,"$162,360,695","$93,432,655",57.6%,"$68,928,040",42.4%,2016
"1,189",Memoirs of a Geisha,"$162,242,962","$57,490,508",35.4%,"$104,752,454",64.6%,2005
"1,190",Jack Reacher: Never Go Back,"$162,146,076","$58,697,076",36.2%,"$103,449,000",63.8%,2016
"1,191",Insidious: Chapter 2,"$161,919,318","$83,586,447",51.6%,"$78,332,871",48.4%,2013
"1,192",Limitless,"$161,849,455","$79,249,455",49%,"$82,600,000",51%,2011
"1,193",Scream 3,"$161,834,276","$89,143,175",55.1%,"$72,691,101",44.9%,2000
"1,194",Flight,"$161,772,375","$93,772,375",58%,"$68,000,000",42%,2012
"1,195",Payback,"$161,626,121","$81,526,121",50.4%,"$80,100,000",49.6%,1999
"1,196",Into the Storm,"$161,515,959","$47,615,959",29.5%,"$113,900,000",70.5%,2014
"1,197",Unbroken,"$161,459,297","$115,637,895",71.6%,"$45,821,402",28.4%,2014
"1,198",The Black Phone,"$161,440,742","$90,123,230",55.8%,"$71,317,512",44.2%,2022
"1,199",Alien Resurrection,"$161,376,069","$47,795,658",29.6%,"$113,580,411",70.4%,1997
"1,200",The Hateful Eight,"$161,217,616","$54,117,416",33.6%,"$107,100,200",66.4%,2015
"1,201",The Sacrifice,"$161,047,608",-,-,"$161,047,608",100%,2020
"1,202",Born on the Fourth of July,"$161,001,698","$70,001,698",43.5%,"$91,000,000",56.5%,1989
"1,203",Freaky Friday,"$160,849,833","$110,230,332",68.5%,"$50,619,501",31.5%,2003
"1,204",Legends of the Fall,"$160,638,883","$66,638,883",41.5%,"$94,000,000",58.5%,1994
"1,205",The Predator,"$160,542,134","$51,024,708",31.8%,"$109,517,426",68.2%,2018
"1,206",Johnny English,"$160,466,000","$28,082,366",17.5%,"$132,383,634",82.5%,2003
"1,207",The War of the Roses,"$160,188,546","$86,888,546",54.2%,"$73,300,000",45.8%,1989
"1,208",Underworld: Awakening,"$160,112,671","$62,321,039",38.9%,"$97,791,632",61.1%,2012
"1,209",Lara Croft: Tomb Raider - The Cradle of Life,"$160,099,222","$65,660,196",41%,"$94,439,026",59%,2003
"1,210",Johnny English Reborn,"$160,078,586","$8,305,970",5.2%,"$151,772,616",94.8%,2011
"1,211",Alien³,"$159,814,498","$55,473,545",34.7%,"$104,340,953",65.3%,1992
"1,212",Norbit,"$159,814,490","$95,673,607",59.9%,"$64,140,883",40.1%,2007
"1,213",21,"$159,808,370","$81,159,365",50.8%,"$78,649,005",49.2%,2008
"1,214",Stepmom,"$159,710,793","$91,137,662",57.1%,"$68,573,131",42.9%,1998
"1,215",The Sound of Music,"$159,484,051","$159,287,539",99.9%,"$196,512",0.1%,1965
"1,216",The Jackal,"$159,330,280","$54,930,280",34.5%,"$104,400,000",65.5%,1997
"1,217",Step Up 3D,"$159,291,809","$42,400,223",26.6%,"$116,891,586",73.4%,2010
"1,218",Daylight,"$159,212,469","$33,023,469",20.7%,"$126,189,000",79.3%,1996
"1,219",Happy Feet Two,"$159,197,038","$64,006,466",40.2%,"$95,190,572",59.8%,2011
"1,220",Unforgiven,"$159,167,799","$101,167,799",63.6%,"$58,000,000",36.4%,1992
"1,221",Focus,"$159,162,963","$53,862,963",33.8%,"$105,300,000",66.2%,2015
"1,222",Johnny English Strikes Again,"$158,972,570","$4,412,170",2.8%,"$154,560,400",97.2%,2018
"1,223",The Fast and the Furious: Tokyo Drift,"$158,968,749","$62,514,415",39.3%,"$96,454,334",60.7%,2006
"1,224",Killers of the Flower Moon,"$158,764,012","$68,026,901",42.8%,"$90,737,111",57.2%,2023
"1,225",Sin City,"$158,733,820","$74,103,820",46.7%,"$84,630,000",53.3%,2005
"1,226",Goosebumps,"$158,261,424","$80,080,379",50.6%,"$78,181,045",49.4%,2015
"1,227",Days of Thunder,"$157,920,733","$82,670,733",52.4%,"$75,250,000",47.6%,1990
"1,228",Final Destination 5,"$157,887,643","$42,587,643",27%,"$115,300,000",73%,2011
"1,229",Don't Breathe,"$157,761,002","$89,217,875",56.6%,"$68,543,127",43.4%,2016
"1,230",Hustlers,"$157,563,598","$104,963,598",66.6%,"$52,600,000",33.4%,2019
"1,231",Crimson Tide,"$157,387,195","$91,387,195",58.1%,"$66,000,000",41.9%,1995
"1,232",The Matrix Resurrections,"$157,386,805","$37,686,805",24%,"$119,700,000",76%,2021
"1,233",The Book of Eli,"$157,107,755","$94,835,059",60.4%,"$62,272,696",39.6%,2010
"1,234",Ip Man 3,"$157,029,618","$2,679,437",1.7%,"$154,350,181",98.3%,2015
"1,235",The Climbers,"$156,892,866","$487,157",0.3%,"$156,405,709",99.7%,2019
"1,236",P.S. I Love You,"$156,846,321","$53,706,790",34.2%,"$103,139,531",65.8%,2007
"1,237",The Monuments Men,"$156,706,638","$78,031,620",49.8%,"$78,675,018",50.2%,2014
"1,238",Mystic River,"$156,595,191","$90,135,191",57.6%,"$66,460,000",42.4%,2003
"1,239",Under Siege,"$156,563,139","$83,563,139",53.4%,"$73,000,000",46.6%,1992
"1,240",This Means War,"$156,491,279","$54,760,791",35%,"$101,730,488",65%,2012
"1,241",The First Slam Dunk,"$156,219,077","$1,291,869",0.8%,"$154,927,208",99.2%,2022
"1,242",Licence to Kill,"$156,167,015","$34,667,015",22.2%,"$121,500,000",77.8%,1989
"1,243",The Sting,"$156,000,000","$156,000,000",100%,$0,-,1973
"1,244",Rocky Balboa,"$155,929,020","$70,270,943",45.1%,"$85,658,077",54.9%,2006
"1,245",Escape Room,"$155,712,077","$57,005,601",36.6%,"$98,706,476",63.4%,2019
"1,246",The Accountant,"$155,560,045","$86,260,045",55.4%,"$69,300,000",44.6%,2016
"1,247",Hannah Montana: The Movie,"$155,545,279","$79,576,189",51.2%,"$75,969,090",48.8%,2009
"1,248",Monster-in-Law,"$155,457,327","$82,931,301",53.4%,"$72,526,026",46.6%,2005
"1,249",Dreamgirls,"$155,456,301","$103,365,956",66.5%,"$52,090,345",33.5%,2006
"1,250",Bayside Shakedown 2,"$155,138,312",-,-,"$155,138,312",100%,2003
"1,251",Blade II,"$155,010,032","$82,348,319",53.1%,"$72,661,713",46.9%,2002
"1,252",Maid in Manhattan,"$154,906,693","$94,011,225",60.7%,"$60,895,468",39.3%,2002
"1,253",Cool Runnings,"$154,856,263","$68,856,263",44.5%,"$86,000,000",55.5%,1993
"1,254",Lone Survivor,"$154,802,912","$125,095,601",80.8%,"$29,707,311",19.2%,2013
"1,255",The Phantom of the Opera,"$154,674,241","$51,293,931",33.2%,"$103,380,310",66.8%,2004
"1,256",Yesterday,"$154,608,856","$73,286,650",47.4%,"$81,322,206",52.6%,2019
"1,257",Ride Along,"$154,468,902","$134,938,200",87.4%,"$19,530,702",12.6%,2014
"1,258",Kill Bill: Vol. 2,"$154,118,514","$66,208,183",43%,"$87,910,331",57%,2004
"1,259",The Town,"$154,026,136","$92,186,262",59.8%,"$61,839,874",40.2%,2010
"1,260",Peter Rabbit 2: The Runaway,"$153,901,717","$40,501,717",26.3%,"$113,400,000",73.7%,2021
"1,261",Free Willy,"$153,709,806","$77,709,806",50.6%,"$76,000,000",49.4%,1993
"1,262",Another 48 Hrs.,"$153,518,974","$80,818,974",52.6%,"$72,700,000",47.4%,1990
"1,263",Sweeney Todd: The Demon Barber of Fleet Street,"$153,384,272","$52,898,073",34.5%,"$100,486,199",65.5%,2007
"1,264",House of Gucci,"$153,269,161","$53,809,574",35.1%,"$99,459,587",64.9%,2021
"1,265",Monkey King: Hero Is Back,"$153,262,397",-,-,"$153,262,397",100%,2015
"1,266",The Devil's Advocate,"$152,944,660","$60,944,660",39.8%,"$92,000,000",60.2%,1997
"1,267",Tower Heist,"$152,930,623","$78,046,570",51%,"$74,884,053",49%,2011
"1,268",Duckweed,"$152,894,264","$471,575",0.3%,"$152,422,689",99.7%,2017
"1,269",The Beekeeper,"$152,720,535","$66,220,535",43.4%,"$86,500,000",56.6%,2024
"1,270",Chocolat,"$152,700,626","$71,509,363",46.8%,"$81,191,263",53.2%,2000
"1,271",Backdraft,"$152,368,585","$77,868,585",51.1%,"$74,500,000",48.9%,1991
"1,272",A Time to Kill,"$152,266,007","$108,766,007",71.4%,"$43,500,000",28.6%,1996
"1,273",Date Night,"$152,263,880","$98,711,404",64.8%,"$53,552,476",35.2%,2010
"1,274",Vantage Point,"$152,039,882","$72,266,306",47.5%,"$79,773,576",52.5%,2008
"1,275",Phenomenon,"$152,036,382","$104,636,382",68.8%,"$47,400,000",31.2%,1996
"1,276",Congo,"$152,022,101","$81,022,101",53.3%,"$71,000,000",46.7%,1995
"1,277",Surf's Up,"$152,005,713","$58,867,694",38.7%,"$93,138,019",61.3%,2007
"1,278",Big,"$151,927,281","$115,227,281",75.8%,"$36,700,000",24.2%,1988
"1,279",Jackass Presents: Bad Grandpa,"$151,826,547","$102,003,019",67.2%,"$49,823,528",32.8%,2013
"1,280",47 Ronin,"$151,783,839","$38,362,475",25.3%,"$113,421,364",74.7%,2013
"1,281",Midnight in Paris,"$151,672,318","$56,817,045",37.5%,"$94,855,273",62.5%,2011
"1,282",Red Sparrow,"$151,572,634","$46,874,505",30.9%,"$104,698,129",69.1%,2018
"1,283",The Bone Collector,"$151,493,655","$66,518,655",43.9%,"$84,975,000",56.1%,1999
"1,284",Arthur Christmas,"$151,133,654","$46,462,469",30.7%,"$104,671,185",69.3%,2011
"1,285",Step Up 2: The Streets,"$150,988,382","$58,017,783",38.4%,"$92,970,599",61.6%,2008
"1,286",Darkest Hour,"$150,847,274","$56,468,410",37.4%,"$94,378,864",62.6%,2017
"1,287",Gods of Egypt,"$150,680,864","$31,153,464",20.7%,"$119,527,400",79.3%,2015
"1,288",The Best Exotic Marigold Hotel,"$150,501,815","$46,412,041",30.8%,"$104,089,774",69.2%,2012
"1,289",Broken Arrow,"$150,270,147","$70,770,147",47.1%,"$79,500,000",52.9%,1996
"1,290",The Taking of Pelham 123,"$150,166,126","$65,452,312",43.6%,"$84,713,814",56.4%,2009
"1,291",A Writer's Odyssey,"$150,123,320","$160,013",0.1%,"$149,963,307",99.9%,2021
"1,292",I Am Number Four,"$149,878,437","$55,100,437",36.8%,"$94,778,000",63.2%,2011
"1,293",The General's Daughter,"$149,705,852","$102,705,852",68.6%,"$47,000,000",31.4%,1999
"1,294",The Secret World of Arrietty,"$149,690,812","$19,587,032",13.1%,"$130,103,780",86.9%,2010
"1,295",Jack and Jill,"$149,673,788","$74,158,157",49.6%,"$75,515,631",50.4%,2011
"1,296",Friends with Benefits,"$149,542,245","$55,802,754",37.3%,"$93,739,491",62.7%,2011
"1,297",Lights Out,"$149,368,835","$67,268,835",45%,"$82,100,000",55%,2016
"1,298",Beverly Hills Chihuahua,"$149,292,488","$94,514,402",63.3%,"$54,778,086",36.7%,2008
"1,299","Me, Myself & Irene","$149,270,999","$90,570,999",60.7%,"$58,700,000",39.3%,2000
"1,300",No Strings Attached,"$149,228,077","$70,662,220",47.4%,"$78,565,857",52.6%,2011
"1,301",King Arthur: Legend of the Sword,"$149,175,066","$39,175,066",26.3%,"$110,000,000",73.7%,2017
"1,302",Death Becomes Her,"$149,022,650","$58,422,650",39.2%,"$90,600,000",60.8%,1992
"1,303",Charlotte's Web,"$148,964,660","$82,985,708",55.7%,"$65,978,952",44.3%,2006
"1,304",Seabiscuit,"$148,336,445","$120,277,854",81.1%,"$28,058,591",18.9%,2003
"1,305",RED 2,"$148,075,565","$53,262,560",36%,"$94,813,005",64%,2013
"1,306",Spy Kids,"$147,934,180","$112,719,001",76.2%,"$35,215,179",23.8%,2001
"1,307",The Game Plan,"$147,880,543","$90,648,202",61.3%,"$57,232,341",38.7%,2007
"1,308",The Mexican,"$147,845,033","$66,845,033",45.2%,"$81,000,000",54.8%,2001
"1,309",The Angry Birds Movie 2,"$147,792,047","$41,667,116",28.2%,"$106,124,931",71.8%,2019
"1,310",Saw II,"$147,748,505","$87,039,965",58.9%,"$60,708,540",41.1%,2005
"1,311",Resident Evil: Extinction,"$147,717,833","$50,648,679",34.3%,"$97,069,154",65.7%,2007
"1,312",Romeo + Juliet,"$147,554,998","$46,351,345",31.4%,"$101,203,653",68.6%,1996
"1,313",Source Code,"$147,332,697","$54,712,227",37.1%,"$92,620,470",62.9%,2011
"1,314",Beethoven,"$147,214,049","$57,114,049",38.8%,"$90,100,000",61.2%,1992
